"date","bfsNumber","district","isBasicImmunized","booster","population"
"2021-12-29T10:15:00","247","Thun","70940","28723","103022"
"2021-12-29T10:15:00","246","Bern-Mittelland","297145","122157","397325"
"2021-12-29T10:15:00","249","Frutigen-Niedersimmental","23664","9552","38704"
"2021-12-29T10:15:00","241","Jura bernois","31961","9957","51185"
"2021-12-29T10:15:00","242","Biel/Bienne","63998","20911","97250"
"2021-12-29T10:15:00","243","Seeland","49595","19568","72244"
"2021-12-29T10:15:00","245","Emmental","63955","23401","93057"
"2021-12-29T10:15:00","244","Oberaargau","50372","16499","78443"
"2021-12-29T10:15:00","250","Interlaken-Oberhasli","32604","12127","45775"
"2021-12-29T10:15:00","248","Obersimmental-Saanen","10157","3241","15815"
